Year,Author,Title,Words,Sent,Sent. length,Par,Par. length,Chap.,Chap. length
2016,Liane Moriarty,Truly Madly Guilty,132908,12018,11.1,4149,32.1,43,3090
2017,Celeste Ng,Little Fires Everywhere,107212,6854,15.6,1578,67.4,20,53600
2018,Tayari Jones,An American Marriage,91248,7340,12.5,2291,39.8,30,3040
2019,Sally Rooney,Normal People,72782,6558,11.1,2245,32.4,18,4045
2020,Matt Haig,The Midnight Library,73142,7602,9.6,3328,22.1,71,1030
2021,Sally Rooney,"Beautiful World, Where Are You",98394,7831,12.6,1506,65.2,30,3280
2022,Gabrielle Zevin,"Tomorrow, and Tomorrow, and Tomorrow",132738,10866,12.2,4221,31.4,10,13273
2023,RF Kuang,Yellowface,88225,6605,13.3,2042,42.9,24,3675
2024,Alison Espach,The Wedding People,116250,10936,10.6,4647,25,24,4845
2025,Charlotte McConaghy,Wild Dark Shore,93317,7574,12.3,3133,29.7,75,1244
