novel,total_verbs,unique_verbs,top_nouns,top_verbs,top_adjectives,top_adverbs
0_2016.txt,17787,1644,"[('mother', 344), ('time', 318), ('day', 257), ('hand', 231), ('way', 224), ('eye', 224), ('face', 179), ('people', 175), ('head', 175), ('chapter', 174), ('door', 159), ('girl', 159), ('child', 156), ('thing', 155), ('barbeque', 141), ('friend', 134), ('life', 129), ('word', 126), ('house', 122), ('night', 119)]","[('say', 1884), ('look', 508), ('know', 452), ('think', 451), ('go', 419), ('feel', 398), ('want', 370), ('get', 324), ('come', 235), ('see', 234), ('tell', 232), ('take', 193), ('need', 167), ('talk', 156), ('remember', 156), ('sit', 151), ('try', 150), ('hear', 141), ('ask', 138), ('turn', 135)]","[('little', 259), ('good', 259), ('right', 139), ('old', 136), ('nice', 86), ('big', 86), ('bad', 85), ('fine', 84), ('great', 80), ('sorry', 73), ('sure', 68), ('white', 68), ('tiny', 66), ('new', 63), ('long', 52), ('wrong', 51), ('beautiful', 47), ('okay', 45), ('blue', 43), ('strange', 43)]","[('maybe', 139), ('probably', 104), ('away', 102), ('right', 90), ('exactly', 82), ('actually', 82), ('course', 70), ('suddenly', 58), ('long', 56), ('home', 49), ('straight', 44), ('kind', 43), ('finally', 41), ('forward', 39), ('soon', 38), ('hard', 37), ('ago', 32), ('ahead', 31), ('fast', 31), ('later', 30)]"
0_2017.txt,13596,1757,"[('time', 299), ('mother', 263), ('baby', 202), ('house', 194), ('way', 172), ('hand', 167), ('child', 165), ('thing', 164), ('year', 159), ('day', 157), ('door', 153), ('room', 152), ('school', 144), ('eye', 119), ('life', 112), ('week', 104), ('trip', 102), ('girl', 100), ('moment', 99), ('car', 97)]","[('say', 669), ('know', 369), ('think', 367), ('go', 268), ('look', 250), ('come', 250), ('tell', 218), ('want', 197), ('take', 191), ('find', 185), ('feel', 160), ('ask', 157), ('begin', 130), ('see', 124), ('turn', 124), ('leave', 123), ('get', 121), ('let', 96), ('sit', 94), ('work', 92)]","[('little', 138), ('good', 114), ('old', 95), ('sure', 89), ('new', 84), ('long', 75), ('right', 67), ('different', 50), ('white', 48), ('big', 47), ('high', 45), ('young', 45), ('black', 41), ('deep', 38), ('well', 38), ('open', 33), ('pregnant', 33), ('dark', 32), ('small', 32), ('real', 31)]","[('away', 118), ('home', 98), ('later', 70), ('maybe', 65), ('long', 58), ('right', 53), ('suddenly', 44), ('instead', 43), ('soon', 42), ('inside', 39), ('finally', 36), ('nearly', 34), ('simply', 34), ('carefully', 29), ('ago', 27), ('early', 26), ('upstairs', 25), ('far', 24), ('course', 24), ('outside', 22)]"
0_2018.txt,12318,1466,"[('time', 230), ('man', 212), ('way', 206), ('thing', 185), ('mother', 164), ('year', 163), ('hand', 160), ('father', 140), ('woman', 133), ('head', 133), ('day', 127), ('word', 104), ('life', 100), ('eye', 94), ('room', 89), ('baby', 84), ('wife', 83), ('face', 83), ('doll', 81), ('night', 78)]","[('say', 867), ('know', 570), ('want', 299), ('go', 297), ('tell', 284), ('think', 261), ('look', 207), ('come', 199), ('ask', 185), ('feel', 182), ('get', 166), ('try', 142), ('talk', 135), ('let', 134), ('need', 114), ('leave', 107), ('take', 107), ('sit', 107), ('remember', 80), ('marry', 79)]","[('little', 174), ('good', 98), ('celestial', 83), ('right', 76), ('old', 67), ('black', 64), ('real', 60), ('bad', 46), ('white', 42), ('sure', 41), ('long', 37), ('different', 36), ('sorry', 36), ('small', 34), ('young', 34), ('ready', 34), ('high', 31), ('big', 30), ('true', 30), ('wrong', 29)]","[('maybe', 89), ('away', 85), ('right', 61), ('home', 48), ('long', 42), ('finally', 32), ('hard', 28), ('ago', 28), ('soon', 27), ('close', 20), ('actually', 20), ('exactly', 19), ('far', 18), ('instead', 18), ('well', 18), ('probably', 17), ('later', 16), ('ahead', 13), ('twice', 11), ('forward', 11)]"
0_2019.txt,10682,1140,"[('people', 213), ('hand', 199), ('thing', 142), ('way', 140), ('time', 140), ('face', 139), ('friend', 133), ('school', 130), ('eye', 113), ('door', 111), ('life', 106), ('person', 98), ('night', 80), ('room', 77), ('arm', 71), ('house', 66), ('head', 65), ('table', 60), ('body', 58), ('window', 57)]","[('say', 1303), ('know', 399), ('feel', 329), ('think', 318), ('look', 317), ('want', 230), ('go', 214), ('come', 168), ('tell', 168), ('sit', 116), ('like', 116), ('see', 109), ('hear', 108), ('ask', 106), ('talk', 103), ('take', 102), ('start', 100), ('mean', 95), ('laugh', 94), ('leave', 93)]","[('good', 112), ('bad', 69), ('sorry', 64), ('different', 53), ('little', 51), ('nice', 48), ('white', 43), ('black', 36), ('okay', 34), ('right', 33), ('small', 32), ('funny', 30), ('weird', 30), ('drunk', 29), ('real', 28), ('wet', 28), ('hard', 28), ('happy', 27), ('long', 27), ('true', 23)]","[('maybe', 81), ('away', 79), ('actually', 64), ('probably', 48), ('home', 48), ('anymore', 36), ('later', 33), ('kind', 30), ('obviously', 25), ('instead', 23), ('pretty', 22), ('inside', 22), ('quietly', 21), ('long', 21), ('alright', 20), ('honestly', 20), ('hard', 20), ('quickly', 19), ('eventually', 18), ('slowly', 17)]"
0_2020.txt,8483,1141,"[('life', 640), ('time', 145), ('book', 143), ('thing', 140), ('people', 95), ('library', 90), ('way', 90), ('brother', 89), ('day', 84), ('year', 77), ('moment', 72), ('man', 62), ('cat', 62), ('bit', 59), ('place', 58), ('lot', 55), ('face', 54), ('kind', 52), ('woman', 51), ('water', 51)]","[('say', 331), ('know', 309), ('want', 236), ('think', 234), ('feel', 224), ('look', 215), ('go', 172), ('see', 132), ('live', 129), ('tell', 107), ('remember', 107), ('come', 106), ('try', 99), ('get', 98), ('die', 94), ('ask', 80), ('mean', 80), ('happen', 79), ('find', 76), ('smile', 76)]","[('good', 132), ('little', 90), ('different', 81), ('happy', 65), ('small', 53), ('right', 52), ('old', 51), ('dead', 50), ('bad', 43), ('sorry', 43), ('new', 39), ('big', 37), ('great', 34), ('easy', 34), ('okay', 33), ('possible', 30), ('hard', 30), ('alive', 30), ('long', 29), ('white', 28)]","[('maybe', 137), ('away', 58), ('long', 52), ('right', 38), ('actually', 32), ('probably', 31), ('ago', 30), ('far', 25), ('later', 23), ('course', 23), ('hard', 21), ('clearly', 20), ('hardly', 20), ('exactly', 19), ('pretty', 18), ('entirely', 18), ('slightly', 17), ('suddenly', 16), ('obviously', 16), ('simply', 15)]"
1_2021.txt,14083,1282,"[('hand', 266), ('time', 228), ('way', 220), ('thing', 196), ('people', 187), ('life', 187), ('eye', 185), ('head', 155), ('phone', 144), ('door', 131), ('friend', 131), ('face', 129), ('woman', 113), ('room', 113), ('man', 102), ('bed', 94), ('work', 93), ('house', 92), ('year', 90), ('night', 85)]","[('say', 1431), ('think', 478), ('know', 432), ('look', 409), ('go', 358), ('want', 271), ('ask', 269), ('feel', 245), ('come', 226), ('tell', 206), ('sit', 167), ('mean', 164), ('take', 159), ('turn', 141), ('get', 132), ('watch', 129), ('talk', 129), ('let', 123), ('like', 123), ('answer', 115)]","[('little', 141), ('good', 138), ('bad', 108), ('nice', 75), ('sorry', 73), ('white', 71), ('happy', 70), ('long', 62), ('old', 54), ('dark', 48), ('different', 48), ('new', 47), ('small', 46), ('sure', 45), ('low', 43), ('wrong', 42), ('open', 40), ('right', 39), ('great', 36), ('well', 34)]","[('maybe', 135), ('away', 85), ('actually', 85), ('long', 57), ('inside', 57), ('probably', 40), ('home', 37), ('slowly', 37), ('later', 35), ('obviously', 33), ('alright', 30), ('anymore', 29), ('kind', 29), ('finally', 27), ('quietly', 27), ('ago', 26), ('outside', 22), ('early', 22), ('far', 21), ('well', 21)]"
1_2022.txt,16751,1565,"[('game', 758), ('time', 400), ('thing', 258), ('people', 228), ('year', 209), ('way', 191), ('day', 184), ('friend', 172), ('world', 166), ('work', 152), ('life', 134), ('hand', 128), ('office', 115), ('room', 113), ('idea', 111), ('person', 109), ('mother', 104), ('head', 97), ('woman', 96), ('eye', 96)]","[('say', 1502), ('know', 689), ('think', 506), ('want', 478), ('feel', 392), ('go', 357), ('look', 278), ('play', 275), ('come', 274), ('ask', 261), ('tell', 251), ('take', 189), ('love', 180), ('like', 168), ('get', 159), ('find', 153), ('work', 147), ('call', 147), ('leave', 141), ('need', 134)]","[('good', 225), ('great', 123), ('right', 111), ('old', 103), ('little', 96), ('new', 82), ('bad', 82), ('high', 72), ('long', 66), ('sure', 62), ('well', 60), ('white', 58), ('different', 55), ('easy', 50), ('small', 49), ('wrong', 44), ('fine', 44), ('young', 43), ('able', 43), ('second', 42)]","[('maybe', 159), ('long', 93), ('later', 69), ('probably', 61), ('away', 44), ('honestly', 38), ('barely', 36), ('home', 36), ('right', 33), ('finally', 31), ('entirely', 31), ('exactly', 31), ('quickly', 27), ('completely', 26), ('well', 25), ('actually', 25), ('ago', 25), ('far', 24), ('instead', 23), ('course', 23)]"
1_2023.txt,11128,1732,"[('time', 200), ('book', 192), ('thing', 166), ('story', 158), ('people', 149), ('way', 129), ('work', 122), ('word', 102), ('year', 98), ('eye', 95), ('writer', 94), ('day', 93), ('novel', 79), ('face', 74), ('author', 70), ('hand', 69), ('phone', 68), ('hour', 67), ('world', 67), ('voice', 67)]","[('know', 402), ('think', 282), ('want', 260), ('feel', 206), ('write', 202), ('go', 186), ('tell', 178), ('say', 178), ('come', 167), ('look', 153), ('get', 127), ('try', 116), ('ask', 115), ('read', 112), ('mean', 107), ('let', 82), ('work', 81), ('need', 81), ('find', 79), ('talk', 79)]","[('good', 157), ('chinese', 112), ('white', 92), ('right', 90), ('sure', 64), ('bad', 62), ('literary', 58), ('asian', 53), ('new', 50), ('big', 46), ('little', 40), ('hard', 38), ('old', 38), ('sorry', 38), ('social', 36), ('true', 36), ('well', 36), ('long', 36), ('real', 36), ('different', 31)]","[('maybe', 120), ('right', 62), ('away', 48), ('instead', 41), ('far', 40), ('actually', 40), ('long', 35), ('later', 32), ('finally', 27), ('hard', 26), ('probably', 26), ('nearly', 25), ('ago', 25), ('well', 25), ('anymore', 25), ('simply', 20), ('entirely', 19), ('exactly', 19), ('clearly', 18), ('course', 18)]"
1_2024.txt,16221,1200,"[('thing', 293), ('time', 293), ('husband', 250), ('bride', 248), ('people', 247), ('wedding', 247), ('way', 215), ('mother', 192), ('life', 185), ('man', 182), ('day', 177), ('woman', 172), ('year', 142), ('room', 140), ('father', 138), ('hand', 113), ('car', 108), ('night', 102), ('moment', 90), ('book', 90)]","[('say', 1931), ('know', 635), ('feel', 533), ('ask', 532), ('look', 489), ('think', 488), ('want', 419), ('go', 292), ('tell', 220), ('get', 213), ('come', 177), ('laugh', 174), ('mean', 168), ('try', 154), ('take', 150), ('start', 150), ('talk', 148), ('like', 145), ('sit', 144), ('make', 136)]","[('good', 235), ('little', 100), ('right', 99), ('beautiful', 94), ('big', 86), ('new', 81), ('old', 79), ('happy', 79), ('weird', 74), ('real', 74), ('dead', 72), ('sorry', 71), ('bad', 68), ('long', 67), ('sure', 66), ('hot', 65), ('nice', 57), ('wrong', 56), ('different', 56), ('high', 55)]","[('maybe', 185), ('actually', 132), ('right', 90), ('long', 89), ('away', 64), ('probably', 45), ('finally', 43), ('exactly', 40), ('seriously', 37), ('truly', 35), ('anymore', 34), ('hard', 33), ('home', 31), ('honestly', 30), ('course', 28), ('ago', 27), ('suddenly', 25), ('later', 24), ('soon', 22), ('especially', 21)]"
1_2025.txt,12684,1379,"[('way', 216), ('time', 196), ('thing', 190), ('body', 160), ('seed', 139), ('water', 134), ('eye', 129), ('head', 117), ('hand', 113), ('face', 102), ('island', 97), ('life', 95), ('day', 95), ('kid', 93), ('child', 86), ('place', 86), ('year', 84), ('sea', 80), ('dad', 79), ('world', 79)]","[('know', 435), ('think', 383), ('say', 363), ('look', 305), ('feel', 273), ('tell', 267), ('come', 240), ('ask', 234), ('want', 211), ('go', 208), ('need', 174), ('try', 166), ('leave', 154), ('let', 130), ('find', 130), ('take', 128), ('mean', 126), ('watch', 110), ('get', 109), ('sit', 108)]","[('little', 122), ('long', 101), ('good', 70), ('bad', 66), ('old', 63), ('sure', 62), ('cold', 55), ('small', 52), ('dead', 45), ('right', 45), ('okay', 43), ('dark', 43), ('different', 38), ('big', 38), ('able', 36), ('close', 33), ('deep', 33), ('sorry', 33), ('open', 32), ('black', 32)]","[('orly', 251), ('maybe', 97), ('away', 92), ('long', 67), ('instead', 60), ('far', 54), ('soon', 39), ('home', 31), ('quickly', 30), ('hard', 28), ('ago', 27), ('right', 27), ('later', 26), ('barely', 26), ('slowly', 25), ('nearly', 21), ('anymore', 21), ('actually', 20), ('simply', 19), ('well', 19)]"
